index,current_price,market_cap,total_volume,date
sgd,36148.50480609424,704152290282.4293,7893419116.618289,18-09-2023
thb,947329.7004608804,18457072466436.938,206859741709.08276,18-09-2023
try,714457.7871266891,13916861372665.484,156009627097.26926,18-09-2023
twd,845860.4259190661,16478957483510.031,184702822198.46677,18-09-2023
uah,977876.176917917,19048485088598.742,213529897017.15665,18-09-2023
usd,26520.98825478389,516614128895.5437,5791146184.464804,18-09-2023
vef,2655.546553951512,51728572726.31071,579867467.450461,18-09-2023
vnd,643479267.5703936,1.2534618924626882e+16,140510695505485.31,18-09-2023
xag,1150.710142250814,22404986494.657944,251270072.8080412,18-09-2023
xau,13.791179102370124,268603184.03666043,3011453.9273835323,18-09-2023
xdr,20037.030962301287,390310240206.6442,4375303600.702107,18-09-2023
xlm,228392.9861938029,4450291821652.897,49872092165.19984,18-09-2023
xrp,53815.11209253564,1048830074843.428,11751114930.832846,18-09-2023
yfi,4.936037001897437,96331256.85183296,1077837.3556558238,18-09-2023
zar,503742.303010191,9813170103087.969,109997609742.343,18-09-2023
bits,1000139.8212215436,19487755239322.64,218391405853.95395,18-09-2023
link,4320.791341771493,84272515859.43918,943491775.3585212,18-09-2023
sats,100013982.12215436,1948775523932264.0,21839140585395.395,18-09-2023
aed,98221.25295321006,1914904835585.9236,60523023288.2403,19-09-2023
ars,9359277.989359563,182466891233358.2,5767100120184.438,19-09-2023
aud,41533.6072903148,809669579302.2733,25592622835.648693,19-09-2023
bch,123.0720255796974,2400051388.2377048,75835838.43956143,19-09-2023
bdt,2934471.5876053367,57209958782258.8,1808194121896.639,19-09-2023
bhd,10080.407697461114,196525913324.90292,6211453544.774362,19-09-2023
bmd,26741.461110948952,521346975856.4663,16477839825.05836,19-09-2023
bnb,123.898115429113,2415264916.9523296,76344867.32782225,19-09-2023
brl,129840.49027810186,2531295971875.9053,80006503486.58856,19-09-2023
btc,1.0,19489693.0,616059.284126072,19-09-2023
cad,36068.77578060349,703153700012.0142,22225244444.679413,19-09-2023
chf,23995.326986543438,467759284249.1088,14785697497.7435,19-09-2023
clp,23665009.827018637,461369005071984.8,14582159133720.1,19-09-2023
cny,194988.03783659564,3801453609155.006,120149816868.3957,19-09-2023
czk,610940.742091502,11911057953299.951,376456007733.4092,19-09-2023
dkk,186431.54578346456,3634515700750.888,114877385981.7322,19-09-2023
